Make, Model, Sub model, year, tranmission, Buyout price, Previous Bid, Current Bid
TOYOTA,86 GT,86 GT 2.0 STD,2012,-,2560000,694000,747000
TOYOTA,86 GT,86 GT 2.0 STD Man,2012,-,2490000,676000,729000
TOYOTA,86 GT,86 GT 2.0 Top,2012,-,2740000,745500,800500
TOYOTA,ALPHARD,ALPHARD 2.4 Hybrid,2013,-,3459000,604500,657500
TOYOTA,ALPHARD,ALPHARD 2.4 V (MNC),2013,AT,3339000,578500,631500
TOYOTA,ALPHARD,ALPHARD 3.5 V (MNC),2013,-,4099000,647000,700500
TOYOTA,AVANZA,AVANZA 1.5 E (MY12) Man,2013,MT,569000,114500,127000
TOYOTA,AVANZA,AVANZA 1.5 G (MY12),2013,AT,659000,131500,153000
TOYOTA,AVANZA,AVANZA 1.5 S (MNC),2013,-,699000,143000,158500
TOYOTA,AVANZA,AVANZA 1.5 S (MY12),2013,AT,699000,127000,164000
TOYOTA,AVANZA,AVANZA 1.5 S TOURING (MY12),2013,-,749000,162500,180500
TOYOTA,CAMRY,CAMRY 2.0 G (MY12),2013,AT,1299000,222000,229500
TOYOTA,CAMRY,CAMRY 2.0 G Extremo (MY12),2013,-,1359000,230000,255500
TOYOTA,CAMRY,CAMRY 2.5 G (MY12),2013,-,1509000,229000,254500
TOYOTA,CAMRY,CAMRY 2.5 Hybrid (DVD/Navigator) (MY12),2013,AT,1879000,266500,296000
TOYOTA,CAMRY,CAMRY 2.5 Hybrid (MY12),2013,AT,1659000,196000,247000
TOYOTA,C-HR,C-HR 1.8 GR Sport Hybrid,2022,-,1199000,567500,620500
TOYOTA,COMMUTER,COMMUTER 2.5 (HRf) Man,2013,MT,1158000,308000,378500
TOYOTA,COMMUTER,COMMUTER 3.0 (HRf) Man,2013,-,1193000,370500,411500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 E (CNG) (MNC) (MY10),2013,AT,859000,84000,149500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 E (MNC) (MY10),2013,AT,829000,67500,150000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.6 J Man,2013,-,751000,123500,137000
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 1.8 G (MNC) (MY10),2013,AT,899000,100500,169500
TOYOTA,COROLLA ALTIS,COROLLA ALTIS 2.0 V (MNC) (MY10),2013,-,1064000,187500,208500
TOYOTA,COROLLA CROSS,COROLLA CROSS 1.8 Hybrid Premium,2020,-,1089000,514500,566500
TOYOTA,COROLLA CROSS,COROLLA CROSS 1.8 Hybrid Premium Safety,2020,-,1199000,570000,623500
TOYOTA,COROLLA CROSS,COROLLA CROSS 1.8 Hybrid Smart,2020,-,1019000,488500,539500
TOYOTA,COROLLA CROSS,COROLLA CROSS 1.8 Sport,2020,-,959000,438500,487000
TOYOTA,CROWN,CROWN 3.0 Saloon,2007,-,5700000,637000,690500
TOYOTA,FORTUNER,FORTUNER 2.5 G VNT 2WD (Champ),2013,AT,1095000,284500,316000
TOYOTA,FORTUNER,FORTUNER 2.7 V 2WD (Champ),2013,AT,1264000,220000,305000
TOYOTA,FORTUNER,FORTUNER 3.0 V 2WD (Champ),2013,AT,1372000,416000,365500
TOYOTA,FORTUNER,FORTUNER 3.0 V 2WD (Champ) (50th Anniversary),2013,-,1402000,353000,392500
TOYOTA,FORTUNER,FORTUNER 3.0 V 4WD TRD SPORTIVO (Champ),2013,AT,1522000,388000,431000
TOYOTA,HIACE,HIACE 2.5 Economy (2dr),2013,-,929000,235000,261000
TOYOTA,HIACE,HIACE D4D 2.5 GL (MNC) (MY10),2013,-,995000,267000,296500
TOYOTA,HILUX REVO,HILUX REVO 2.4 J Single Cab Man,2015,MT,569000,140000,186500
TOYOTA,HILUX REVO,HILUX REVO 2.4 Smart Cab E Man,2015,-,709000,204500,227000
TOYOTA,HILUX REVO,HILUX REVO 2.4 Smart Cab Prerunner E Man,2015,AT,765000,238000,264500
TOYOTA,HILUX REVO,HILUX REVO 2.8 J 4WD Single Cab Man,2015,-,675000,209500,233000
TOYOTA,HILUX REVO,HILUX REVO 2.8 J PLUS SINGLE CAB Man,2015,MT,605000,190000,210000
TOYOTA,HILUX REVO,HILUX REVO DOUBLE CAB 2.4 E 4WD Man,2015,-,899000,279500,310500
TOYOTA,HILUX REVO,HILUX REVO DOUBLE CAB 2.4 E Man,2015,MT,795000,200000,273000
TOYOTA,HILUX REVO,HILUX REVO DOUBLE CAB 2.4 E Prerunner,2015,MT,895000,286500,318500
TOYOTA,HILUX REVO,HILUX REVO DOUBLE CAB 2.4 G Prerunner Navi,2015,MT,969000,380000,338000
TOYOTA,HILUX REVO,HILUX REVO DOUBLE CAB 2.4 G Prerunner Navi Man,2015,-,925000,293500,326000
TOYOTA,HILUX REVO,HILUX REVO DOUBLE CAB 2.4 J Plus Man,2015,-,725000,227000,252000
TOYOTA,HILUX REVO,HILUX REVO DOUBLE CAB 2.8 G 4WD Navi Man,2015,-,1069000,341000,378500
TOYOTA,HILUX REVO,HILUX REVO DOUBLE CAB 2.8 G Prerunner Navi,2015,AT,1099000,340500,378000
TOYOTA,HILUX REVO,HILUX REVO SMART CAB 2.4 G Man,2015,MT,755000,237000,263500
