brand,model,submodel,year,gear,engine,color,mileage,price,dateRecorded,source,sourceType,sourceUrl,externalId,series_auto,trim_auto
HONDA,,,2023.0,ekiiyr``ot,,khaaw,20000.0,1259000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2023.0,ekiiyr``ot,,ethaa,51000.0,469000.0,2025-11-26,taladrod,marketplace,,,,
MINI,,,2016.0,ekiiyr``ot,,aedng,106000.0,680000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2022.0,ekiiyr``ot,,khaaw,64000.0,1999000.0,2025-11-26,taladrod,marketplace,,,,
FORD,,,2023.0,ekiiyr``ot,,namtaal,35000.0,1299000.0,2025-11-26,taladrod,marketplace,,,,
CHEVROLET,,,2013.0,ekiiyr``ot,,namtaal,180000.0,158000.0,2025-11-26,taladrod,marketplace,,,,
MAZDA,,,2020.0,ekiiyr``ot,,ethaa,100000.0,589000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2016.0,ekiiyr``ot,,ethaa,182000.0,488000.0,2025-11-26,taladrod,marketplace,,,,
MITSUBISHI,,,2020.0,ekiiyrthrrmdaa,,ethaa,59990.0,355000.0,2025-11-26,taladrod,marketplace,,,,
ISUZU,,,2019.0,ekiiyr``ot,,khaaw,129661.0,839000.0,2025-11-26,taladrod,marketplace,,,,
ISUZU,,,2019.0,ekiiyr``ot,,aedng,182820.0,489000.0,2025-11-26,taladrod,marketplace,,,,
MAZDA,,,2019.0,ekiiyr``ot,,ethaa,61650.0,345000.0,2025-11-26,taladrod,marketplace,,,,
MG,,,2017.0,ekiiyr``ot,,namtaal,70000.0,215000.0,2025-11-26,taladrod,marketplace,,,,
PORSCHE,,,2014.0,ekiiyr``ot,,khaaw,50000.0,2590000.0,2025-11-26,taladrod,marketplace,,,,
MITSUBISHI,,,2016.0,ekiiyrthrrmdaa,,ethaa,35820.0,315000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,2009.0,ekiiyr``ot,,khaaw,143005.0,399000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2020.0,ekiiyr``ot,,khaaw,70000.0,379000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2014.0,ekiiyr``ot,,khaaw,120000.0,319000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2020.0,ekiiyr``ot,,dam,120000.0,839000.0,2025-11-26,taladrod,marketplace,,,,
MAZDA,,,2019.0,ekiiyr``ot,,ethaa,130000.0,339000.0,2025-11-26,taladrod,marketplace,,,,
MAZDA,,,2019.0,ekiiyr``ot,,ethaa,70000.0,329000.0,2025-11-26,taladrod,marketplace,,,,
CHEVROLET,,,2012.0,ekiiyr``ot,,ethaa,80000.0,219000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2020.0,ekiiyr``ot,,khaaw,74000.0,1250000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2023.0,ekiiyr``ot,,dam,25000.0,889000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2017.0,ekiiyr``ot,,khaaw,50000.0,678000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2023.0,ekiiyr``ot,,khaaw,87000.0,2098000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2016.0,ekiiyr``ot,,khaaw,180000.0,1465000.0,2025-11-26,taladrod,marketplace,,,,
BENZ,,,2008.0,ekiiyr``ot,,br`nchengin,246000.0,278000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2014.0,ekiiyr``ot,,khaaw,230000.0,385000.0,2025-11-26,taladrod,marketplace,,,,
TOYOTA,,,2014.0,ekiiyr``ot,,br`nchengin,280000.0,249000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2016.0,ekiiyr``ot,,dam,165000.0,1090000.0,2025-11-26,taladrod,marketplace,,,,
HONDA,,,2022.0,ekiiyr``ot,,br`nchengin,80000.0,659000.0,2025-11-26,taladrod,marketplace,,,,
BMW,,,2017.0,ekiiyr``ot,,ethaa,138120.0,999000.0,2025-11-26,taladrod,marketplace,,,,
