brand,model,model_raw,year,price_thb,mileage_km,color,gear_type,location,lot_num,grade,engine,type,date,sold_amount,num_bids,num_hall_bids,num_internet_bids,min_bid,max_bid,source,channel,model_clean,series,trim,has_price,has_mileage,has_brand,has_model,has_year,ok_for_pricing,brand_norm,model_norm,model_raw_norm,series_auto,match_text,trim_auto,trim_guess
HONDA,CRV,,2023.0,1259000.0,20000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CRV,,,True,True,True,True,True,True,HONDA,CRV,,CRV,CRV CRV,,
TOYOTA,YARIS ATIV,,2023.0,469000.0,51000.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,YARIS ATIV,,,True,True,True,True,True,True,TOYOTA,YARIS ATIV,,YARIS,YARIS ATIV YARIS ATIV,ATIV ATIV,Ativ Ativ
MINI,COUPE,,2016.0,680000.0,106000.0,แดง,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,COUPE,,,True,True,True,True,True,True,MINI,COUPE,,,COUPE COUPE,,
BMW,X3,,2022.0,1999000.0,64000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,X3,,,True,True,True,True,True,True,BMW,X3,,X3,X3 X3,,
FORD,EVEREST,,2023.0,1299000.0,35000.0,น้ำตาล,,,,,,,,,,,,,,taladrod,marketplace,EVEREST,,,True,True,True,True,True,True,FORD,EVEREST,,EVEREST,EVEREST EVEREST,,
CHEVROLET,CAPTIVA,,2013.0,158000.0,180000.0,น้ำตาล,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CAPTIVA,,,True,True,True,True,True,True,CHEVROLET,CAPTIVA,,CAPTIVA,CAPTIVA CAPTIVA,,
MAZDA,CX-30,,2020.0,589000.0,100000.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CX-30,,,True,True,True,True,True,True,MAZDA,CX-30,,3,CX-30 CX-30,CX-30 CX-30,Cx-30 Cx-30
TOYOTA,CAMRY,,2016.0,488000.0,182000.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CAMRY,,,True,True,True,True,True,True,TOYOTA,CAMRY,,CAMRY,CAMRY CAMRY,,
MITSUBISHI,TRITON 18-23,,2020.0,355000.0,59990.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,TRITON 18-23,,,True,True,True,True,True,True,MITSUBISHI,TRITON 18-23,,TRITON,TRITON 18-23 TRITON 18-23,18-23 18-23,18-23 18-23
ISUZU,MU-X,,2019.0,839000.0,129661.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,MU-X,,,True,True,True,True,True,True,ISUZU,MU-X,,MU-X,MU-X MU-X,,
ISUZU,D-MAX 12-19,,2019.0,489000.0,182820.0,แดง,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,D-MAX 12-19,,,True,True,True,True,True,True,ISUZU,D-MAX 12-19,,D-MAX,D-MAX 12-19 D-MAX 12-19,12-19 12-19,12-19 12-19
MAZDA,MAZDA2,,2019.0,345000.0,61650.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,MAZDA2,,,True,True,True,True,True,True,MAZDA,MAZDA2,,2,MAZDA2 MAZDA2,MAZDA2 MAZDA2,Mazda2 Mazda2
MG,GS,,2017.0,215000.0,70000.0,น้ำตาล,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,GS,,,True,True,True,True,True,True,MG,GS,,GS,GS GS,,
PORSCHE,CAYMAN,,2014.0,2590000.0,50000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CAYMAN,,,True,True,True,True,True,True,PORSCHE,CAYMAN,,CAYMAN,CAYMAN CAYMAN,,
MITSUBISHI,TRITON 05-18,,2016.0,315000.0,35820.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,TRITON 05-18,,,True,True,True,True,True,True,MITSUBISHI,TRITON 05-18,,TRITON,TRITON 05-18 TRITON 05-18,05-18 05-18,05-18 05-18
MERCEDES-BENZ,B-CLASS,,2009.0,399000.0,143005.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,B-CLASS,,,True,True,True,True,True,True,BENZ,B-CLASS,,B-CLASS,B-CLASS B-CLASS,,
TOYOTA,YARIS ECO,,2020.0,379000.0,70000.0,ขาว,,,,,,,,,,,,,,taladrod,marketplace,YARIS ECO,,,True,True,True,True,True,True,TOYOTA,YARIS ECO,,YARIS,YARIS ECO YARIS ECO,ECO ECO,Eco Eco
TOYOTA,COROLLA,,2014.0,319000.0,120000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,COROLLA,,,True,True,True,True,True,True,TOYOTA,COROLLA,,COROLLA,COROLLA COROLLA,,
TOYOTA,CAMRY,,2020.0,839000.0,120000.0,ดำ,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CAMRY,,,True,True,True,True,True,True,TOYOTA,CAMRY,,CAMRY,CAMRY CAMRY,,
MAZDA,MAZDA2,,2019.0,339000.0,130000.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,MAZDA2,,,True,True,True,True,True,True,MAZDA,MAZDA2,,2,MAZDA2 MAZDA2,MAZDA2 MAZDA2,Mazda2 Mazda2
MAZDA,MAZDA2,,2019.0,329000.0,70000.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,MAZDA2,,,True,True,True,True,True,True,MAZDA,MAZDA2,,2,MAZDA2 MAZDA2,MAZDA2 MAZDA2,Mazda2 Mazda2
CHEVROLET,CAPTIVA,,2012.0,219000.0,80000.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CAPTIVA,,,True,True,True,True,True,True,CHEVROLET,CAPTIVA,,CAPTIVA,CAPTIVA CAPTIVA,,
TOYOTA,FORTUNER,,2020.0,1250000.0,74000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,FORTUNER,,,True,True,True,True,True,True,TOYOTA,FORTUNER,,FORTUNER,FORTUNER FORTUNER,,
HONDA,HRV,,2023.0,889000.0,25000.0,ดำ,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,HRV,,,True,True,True,True,True,True,HONDA,HRV,,HRV,HRV HRV,,
BMW,SERIES 1,,2017.0,678000.0,50000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,SERIES 1,,,True,True,True,True,True,True,BMW,SERIES 1,,1 SERIES,SERIES 1 SERIES 1,,
TOYOTA,ALPHARD,,2023.0,2098000.0,87000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,ALPHARD,,,True,True,True,True,True,True,TOYOTA,ALPHARD,,ALPHARD,ALPHARD ALPHARD,,
TOYOTA,ALPHARD,,2016.0,1465000.0,180000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,ALPHARD,,,True,True,True,True,True,True,TOYOTA,ALPHARD,,ALPHARD,ALPHARD ALPHARD,,
MERCEDES-BENZ,E-CLASS,,2008.0,278000.0,246000.0,บรอนซ์เงิน,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,E-CLASS,,,True,True,True,True,True,True,BENZ,E-CLASS,,E-CLASS,E-CLASS E-CLASS,,
TOYOTA,CAMRY,,2014.0,385000.0,230000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CAMRY,,,True,True,True,True,True,True,TOYOTA,CAMRY,,CAMRY,CAMRY CAMRY,,
TOYOTA,HILUX VIGO,,2014.0,249000.0,280000.0,บรอนซ์เงิน,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,HILUX VIGO,,,True,True,True,True,True,True,TOYOTA,HILUX VIGO,,HILUX VIGO,HILUX VIGO HILUX VIGO,,
BMW,SERIES 4,,2016.0,1090000.0,165000.0,ดำ,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,SERIES 4,,,True,True,True,True,True,True,BMW,SERIES 4,,4 SERIES,SERIES 4 SERIES 4,,
HONDA,CIVIC,,2022.0,659000.0,80000.0,บรอนซ์เงิน,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,CIVIC,,,True,True,True,True,True,True,HONDA,CIVIC,,CIVIC,CIVIC CIVIC,,
BMW,X5,,2017.0,999000.0,138120.0,เทา,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,X5,,,True,True,True,True,True,True,BMW,X5,,X5,X5 X5,,
BMW,X5,,2021.0,2490000.0,108000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,X5,,,True,True,True,True,True,True,BMW,X5,,X5,X5 X5,,
PEUGEOT,3008,,2020.0,719000.0,88000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,3008,,,True,True,True,True,True,True,PEUGEOT,3008,,,3008 3008,,
HONDA,ACCORD,,2019.0,729000.0,160000.0,บรอนซ์เงิน,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,ACCORD,,,True,True,True,True,True,True,HONDA,ACCORD,,ACCORD,ACCORD ACCORD,,
TOYOTA,VELLFIRE,,2020.0,2250000.0,86000.0,ขาว,,กรุงเทพฯ,,,,,,,,,,,,taladrod,marketplace,VELLFIRE,,,True,True,True,True,True,True,TOYOTA,VELLFIRE,,VELLFIRE,VELLFIRE VELLFIRE,,
